"Dato","Negative","Positive","Andel"
"24.02.2020",12,0,0
"25.02.2020",62,0,0
"26.02.2020",146,2,1.4
"27.02.2020",247,2,0.8
"28.02.2020",287,3,1
"29.02.2020",203,6,2.9
"01.03.2020",230,5,2.1
"02.03.2020",383,8,2
"03.03.2020",360,20,5.3
"04.03.2020",326,15,4.4
"05.03.2020",356,18,4.8
"06.03.2020",340,25,6.8
"07.03.2020",296,19,6
"08.03.2020",358,50,12.3
"09.03.2020",1231,253,17
"10.03.2020",1493,193,11.4
"11.03.2020",1937,148,7.1
"12.03.2020",2840,177,5.9
"13.03.2020",3902,152,3.7
"14.03.2020",2672,89,3.2
"15.03.2020",2794,76,2.6
"16.03.2020",6131,132,2.1
"17.03.2020",6433,153,2.3
"18.03.2020",6641,186,2.7
"19.03.2020",5779,204,3.4
"20.03.2020",4856,263,5.1
"21.03.2020",2324,183,7.3
"22.03.2020",1156,132,10.2
"23.03.2020",3312,252,7.1
"24.03.2020",3244,284,8
"25.03.2020",3093,251,7.5
"26.03.2020",2915,270,8.5
"27.03.2020",3031,260,7.9
"28.03.2020",1623,178,9.9
"29.03.2020",1117,126,10.1
"30.03.2020",2931,241,7.6
"31.03.2020",3200,246,7.1
"01.04.2020",3719,217,5.5
"02.04.2020",3344,216,6.1
"03.04.2020",3371,186,5.2
"04.04.2020",1292,94,6.8
"05.04.2020",1043,74,6.6
"06.04.2020",3353,177,5
"07.04.2020",2815,154,5.2
"08.04.2020",2161,115,5.1
"09.04.2020",1223,108,8.1
"10.04.2020",1281,73,5.4
"11.04.2020",1304,115,8.1
"12.04.2020",1164,81,6.5
"13.04.2020",1236,81,6.2
"14.04.2020",3213,155,4.6
"15.04.2020",3293,136,4
"16.04.2020",3010,100,3.2
"17.04.2020",3007,124,4
"18.04.2020",1119,56,4.8
"19.04.2020",1106,37,3.2
"20.04.2020",3665,111,2.9
"21.04.2020",3490,91,2.5
"22.04.2020",3244,102,3
"23.04.2020",2889,86,2.9
"24.04.2020",3213,68,2.1
"25.04.2020",1103,29,2.6
"26.04.2020",933,40,4.1
"27.04.2020",4009,95,2.3
"28.04.2020",4050,64,1.6
"29.04.2020",3897,57,1.4
"30.04.2020",4390,45,1
"01.05.2020",1465,46,3
"02.05.2020",1525,30,1.9
"03.05.2020",1211,49,3.9
"04.05.2020",4676,53,1.1
"05.05.2020",4260,61,1.4
"06.05.2020",4243,41,1
"07.05.2020",3717,37,1
"08.05.2020",3755,45,1.2
"09.05.2020",1288,11,0.8
"10.05.2020",987,13,1.3
"11.05.2020",4363,33,0.8
"12.05.2020",4771,23,0.5
"13.05.2020",4443,25,0.6
"14.05.2020",4169,29,0.7
"15.05.2020",4146,26,0.6
"16.05.2020",1287,14,1.1
"17.05.2020",660,3,0.5
"18.05.2020",4381,24,0.5
"19.05.2020",4636,20,0.4
"20.05.2020",3923,24,0.6
"21.05.2020",1131,13,1.1
"22.05.2020",3312,30,0.9
"23.05.2020",1032,7,0.7
"24.05.2020",889,9,1
"25.05.2020",4051,19,0.5
"26.05.2020",3437,14,0.4
"27.05.2020",3259,19,0.6
"28.05.2020",2763,18,0.6
"29.05.2020",2572,17,0.7
"30.05.2020",813,0,0
"31.05.2020",632,6,0.9
"01.06.2020",735,7,0.9
"02.06.2020",3809,35,0.9
"03.06.2020",3115,14,0.4
"04.06.2020",2899,17,0.6
"05.06.2020",2899,29,1
"06.06.2020",939,8,0.8
"07.06.2020",923,10,1.1
"08.06.2020",5728,20,0.3
"09.06.2020",5648,12,0.2
"10.06.2020",4543,15,0.3
"11.06.2020",4855,13,0.3
"12.06.2020",4613,15,0.3
"13.06.2020",1236,8,0.6
"14.06.2020",1127,6,0.5
"15.06.2020",5827,18,0.3
"16.06.2020",5410,39,0.7
"17.06.2020",4961,19,0.4
"18.06.2020",4541,12,0.3
"19.06.2020",3778,18,0.5
"20.06.2020",1051,6,0.6
"21.06.2020",1023,5,0.5
"22.06.2020",5006,24,0.5
"23.06.2020",4640,16,0.3
"24.06.2020",4575,21,0.5
"25.06.2020",4134,18,0.4
"26.06.2020",3882,21,0.5
"27.06.2020",1099,10,0.9
"28.06.2020",984,2,0.2
"29.06.2020",5858,24,0.4
"30.06.2020",4965,10,0.2
"01.07.2020",5063,10,0.2
"02.07.2020",4683,7,0.1
"03.07.2020",4451,13,0.3
"04.07.2020",1419,2,0.1
"05.07.2020",1187,2,0.2
"06.07.2020",6231,18,0.3
