"Dato","Kumulativt antall","Nye sykehusinnlegelser"
"02.03.2020",0,0
"03.03.2020",0,0
"04.03.2020",0,0
"05.03.2020",0,0
"06.03.2020",1,1
"07.03.2020",1,0
"08.03.2020",2,1
"09.03.2020",5,3
"10.03.2020",12,7
"11.03.2020",17,5
"12.03.2020",20,3
"13.03.2020",27,7
"14.03.2020",37,10
"15.03.2020",45,8
"16.03.2020",62,17
"17.03.2020",75,13
"18.03.2020",98,23
"19.03.2020",128,30
"20.03.2020",156,28
"21.03.2020",179,23
"22.03.2020",206,27
"23.03.2020",243,37
"24.03.2020",285,42
"25.03.2020",342,57
"26.03.2020",385,43
"27.03.2020",420,35
"28.03.2020",451,31
"29.03.2020",475,24
"30.03.2020",508,33
"31.03.2020",546,38
"01.04.2020",573,27
"02.04.2020",610,37
"03.04.2020",632,22
"04.04.2020",659,27
"05.04.2020",673,14
"06.04.2020",692,19
"07.04.2020",706,14
"08.04.2020",728,22
"09.04.2020",738,10
"10.04.2020",744,6
"11.04.2020",755,11
"12.04.2020",764,9
"13.04.2020",774,10
"14.04.2020",785,11
"15.04.2020",797,12
"16.04.2020",801,4
"17.04.2020",816,15
"18.04.2020",825,9
"19.04.2020",830,5
"20.04.2020",835,5
"21.04.2020",839,4
"22.04.2020",847,8
"23.04.2020",852,5
"24.04.2020",860,8
"25.04.2020",864,4
"26.04.2020",870,6
"27.04.2020",872,2
"28.04.2020",879,7
"29.04.2020",879,0
"30.04.2020",881,2
"01.05.2020",883,2
"02.05.2020",885,2
"03.05.2020",886,1
"04.05.2020",888,2
"05.05.2020",891,3
"06.05.2020",895,4
"07.05.2020",897,2
"08.05.2020",899,2
"09.05.2020",900,1
"10.05.2020",901,1
"11.05.2020",903,2
"12.05.2020",906,3
"13.05.2020",909,3
"14.05.2020",911,2
"15.05.2020",911,0
"16.05.2020",911,0
"17.05.2020",911,0
"18.05.2020",915,4
"19.05.2020",916,1
"20.05.2020",917,1
"21.05.2020",919,2
"22.05.2020",920,1
"23.05.2020",920,0
"24.05.2020",920,0
"25.05.2020",920,0
"26.05.2020",921,1
"27.05.2020",925,4
"28.05.2020",927,2
"29.05.2020",928,1
"30.05.2020",928,0
"31.05.2020",930,2
"01.06.2020",931,1
"02.06.2020",931,0
"03.06.2020",931,0
"04.06.2020",931,0
"05.06.2020",932,1
"06.06.2020",932,0
"07.06.2020",932,0
"08.06.2020",933,1
"09.06.2020",935,2
"10.06.2020",936,1
"11.06.2020",938,2
"12.06.2020",939,1
"13.06.2020",939,0
"14.06.2020",940,1
"15.06.2020",941,1
"16.06.2020",942,1
"17.06.2020",945,3
"18.06.2020",946,1
"19.06.2020",947,1
"20.06.2020",947,0
"21.06.2020",947,0
"22.06.2020",949,2
"23.06.2020",950,1
"24.06.2020",952,2
"25.06.2020",953,1
"26.06.2020",956,3
"27.06.2020",958,2
"28.06.2020",960,2
"29.06.2020",960,0
"30.06.2020",962,2
"01.07.2020",962,0
"02.07.2020",964,2
"03.07.2020",965,1
"04.07.2020",965,0
